verify_result	url	first_status	source_files	live_referrers
CONFIRMED_404	http://www.eurac.edu/en/research/health/biomed/staff/Pages/staffdetails.aspx?persId=34084	404	content/about/community-advisory-board.md	https://bioconductor.org/about/community-advisory-board/
CONFIRMED_404	https://www.thekids.org.au/contact-us/our-people/p/stephen-stevie-pederson/	404	content/about/community-advisory-board.md	https://bioconductor.org/about/community-advisory-board/
CONFIRMED_404	https://www.deduveinstitute.be/fr/research/computational-biology/laurent-gatto	404	content/about/technical-advisory-board.md	https://bioconductor.org/about/technical-advisory-board/
CONFIRMED_UNREACHABLE	http://comments.gmane.org/gmane.comp.programming.swig.devel/22966	DNS_FAIL	content/developers/how-to/mavericks-howto.md	
CONFIRMED_404	http://lldb.llvm.org/status.html	404	content/developers/how-to/mavericks-howto.md	
CONFIRMED_404	http://journal.r-project.org/archive/2011-1/RJournal_2011-1_Wickham.pdf	404	content/developers/how-to/unitTesting-guidelines.md	
CONFIRMED_UNREACHABLE	https://github.com/richierocks/runittotestthat]	404	content/developers/how-to/unitTesting-guidelines.md	
CONFIRMED_UNREACHABLE	http://weka.wikispaces.com/Where+is+my+home+directory+located%3F	DNS_FAIL	content/help/bioconductor-cloud-ami.md	http://bioconductor.org/help/bioconductor-cloud-ami/; https://bioconductor.org/help/bioconductor-cloud-ami/
CONFIRMED_UNREACHABLE	http://cagrid-portal.nci.nih.gov	DNS_FAIL	content/help/cabig.md	
CONFIRMED_UNREACHABLE	https://cabig.nci.nih.gov/	DNS_FAIL	content/help/cabig.md	
CONFIRMED_UNREACHABLE	https://gforge.nci.nih.gov/docman/?group_id=175	DNS_FAIL	content/help/cabig.md	
CONFIRMED_UNREACHABLE	https://gforge.nci.nih.gov/scm/?group_id=175	DNS_FAIL	content/help/cabig.md	
CONFIRMED_404	https://vincebuffalo.com/blog/2012/03/12/using-bioconductor-to-analyze-your-23andme-data.html	404	content/help/community.md	https://bioconductor.org/help/community/
CONFIRMED_UNREACHABLE	http://gentleman.fhcrc.org	DNS_FAIL	content/help/course-materials/2003/MGED6.html; content/help/course-materials/2003/Tokyo.html; content/help/course-materials/2004/Bressanone.html; content/help/publications/books/bioinformatics-and-computational-biology-solutions.html	https://bioconductor.org/help/publications/books/bioinformatics-and-computational-biology-solutions/
CONFIRMED_UNREACHABLE	http://marray.economia.unimi.it/2010/	DNS_FAIL	content/help/course-materials/2010/CSAMA10.yaml; content/help/events/CSAMA10.yaml	https://bioconductor.org/help/events/
CONFIRMED_UNREACHABLE	http://marray.economia.unimi.it/	DNS_FAIL	content/help/course-materials/2013/CSAMA2013.yaml; content/help/events/Brixen2012.yaml; content/help/events/Brixen2013.yaml	https://bioconductor.org/help/events/
CONFIRMED_UNREACHABLE	http://bioinformatics.fmrp.usp.br/laba2014/	DNS_FAIL	content/help/course-materials/2014/Epigenomics.yaml; content/help/events/BrazilAug2014.yaml	https://bioconductor.org/help/events/
CONFIRMED_404	http://www.iscb.org/cms_addon/conferences/ismb2014/workshops.php	404	content/help/course-materials/2014/ISMB2014.yaml; content/help/events/Workshop5_2014.yaml	https://bioconductor.org/help/events/
CONFIRMED_UNREACHABLE	http://127.0.0.1:8787	CONN_ERROR	content/help/docker.md	
CONFIRMED_UNREACHABLE	http://localhost:8787	CONN_ERROR	content/help/docker.md	
CONFIRMED_404	http://bioconductor-emr-bootstrap-scripts.s3.amazonaws.com/bootstrap.sh	404	content/help/elasticmapreduce.md	
CONFIRMED_404	http://bioconductor-mapreduce-example-inputdir.s3.amazonaws.com/file1	404	content/help/elasticmapreduce.md	
CONFIRMED_404	http://bioconductor-mapreduce-example-inputdir.s3.amazonaws.com/file2	404	content/help/elasticmapreduce.md	
CONFIRMED_404	http://s3.amazonaws.com/bioconductor-mapreduce-example/mapper-emr.R	404	content/help/elasticmapreduce.md	
CONFIRMED_404	http://s3.amazonaws.com/bioconductor-mapreduce-example/reducer-emr.R	404	content/help/elasticmapreduce.md	
