url	status	n_redirects	redirect_chain	final_url	content_type	title	note
http://bioconductor.posit.co/	200	1	301->https://bioconductor.posit.co/	https://bioconductor.posit.co/	text/html;charset=ISO-8859-1	Index of /	
http://bioconductor.riken.jp/	200	0			text/html;charset=UTF-8	Index of /	
http://bioconductor.statistik.tu-dortmund.de/	200	0			text/html	Bioconductor Mirror, Department of Statistics, TU Dortmund	
http://bioconductor.uib.no/	200	1	302->https://bioconductor.uib.no/	https://bioconductor.uib.no/	text/html;charset=UTF-8	Index of /	
http://bioconductor.unipi.it	200	0			text/html	Bioconductor Mirror, Department of Biology, University of Pisa	
http://cran.asia	200	1	301->https://cran.asia/	https://cran.asia/	text/html	The Comprehensive R Archive Network	
http://cran.r-project.org/	200	0			text/html	The Comprehensive R Archive Network	
http://cran.r-project.org/faqs.html	200	0			text/html	CRAN: Frequently Asked Questions	
http://cran.r-project.org/manuals.html	200	0			text/html	CRAN: Manuals	
http://en.wikipedia.org/wiki/Bioconductor#Milestones	301	0					
http://eutils.ncbi.nlm.nih.gov/entrez/eutils/	400	1	301->https://eutils.ncbi.nlm.nih.gov:443/entrez/eutils/	https://eutils.ncbi.nlm.nih.gov:443/entrez/eutils/	application/json		
http://f1000research.com/channels/bioconductor	200	1	301->https://f1000research.com/channels/bioconductor	https://f1000research.com/channels/bioconductor	text/html;charset=UTF-8		
http://free.nchc.org.tw/bioconductor/	DNS_FAIL	0					
http://ftp.gwdg.de/pub/misc/bioconductor/	200	0			text/html	Index of /pub/misc/bioconductor/	
http://genomicsclass.github.io/book/	200	1	301->https://genomicsclass.github.io/book/	https://genomicsclass.github.io/book/	text/html; charset=utf-8	PH525x series - Biomedical Data Science	
http://journal.r-project.org/	200	0			text/html	Overview	
http://manuals.bioinformatics.ucr.edu/home/R_BioCondManual	TLS_ERROR	1	301->https://manuals.bioinformatics.ucr.edu/home/R_BioCondManual	https://manuals.bioinformatics.ucr.edu/home/R_BioCondManual			
http://mirror.aarnet.edu.au/pub/bioconductor	301	0				301 Moved Permanently	
http://mirror.accum.se/mirror/bioconductor.org/	200	0			text/html;charset=UTF-8		
http://mirrors.dotsrc.org/bioconductor/	200	0			text/html	mirrors.dotsrc.org	
http://mirrors.nju.edu.cn/bioconductor/	200	0			text/html; charset=utf-8	NJU Mirror	
http://mirrors.tuna.tsinghua.edu.cn/bioconductor/	200	0			text/html	Index of /bioconductor/ | 清华大学开源软件镜像站 | Tsinghua Open Source Mirror	
http://mirrors.ustc.edu.cn/bioc/	200	0			text/html; charset=utf-8	Directory Listing	
http://ogp.me/ns#	404	2	301->https://ogp.me/ns | 301->https://ogp.me/ns/	https://ogp.me/ns/	text/html; charset=utf-8	Page not found &middot; GitHub Pages	
http://scholar.google.com/scholar?q=bioconductor&btnG=Search	200	1	302->https://scholar.google.com/scholar?q=bioconductor&btnG=Search	https://scholar.google.com/scholar?q=bioconductor&btnG=Search	text/html; charset=ISO-8859-1		
http://vincebuffalo.com/2012/03/12/23andme-gwascat.html	404	1	301->https://vincebuffalo.com/2012/03/12/23andme-gwascat.html	https://vincebuffalo.com/2012/03/12/23andme-gwascat.html	text/html	404 Not Found	
http://watson.nci.nih.gov/~sdavis/	DNS_FAIL	0					
http://wiki.r-project.org/	DNS_FAIL	0					
http://www.bepress.com/bioconductor/	200	1	301->https://www.elsevier.com/products/digital-commons	https://www.elsevier.com/products/digital-commons	text/html; charset=utf-8		
http://www.bepress.com/bioconductor/authors.instructions.html	200	1	301->https://www.elsevier.com/products/digital-commons	https://www.elsevier.com/products/digital-commons	text/html; charset=utf-8		
http://www.fredhutch.org/en/contact-us/visit-us.html	301	1	301->https://www.fredhutch.org/en/contact-us/visit-us.html	https://www.fredhutch.org/en/contact-us/visit-us.html		301 Moved Permanently	
http://www.gene.com/	200	1	301->https://www.gene.com/	https://www.gene.com/	text/html; charset=utf-8	Genentech	
http://www.ncbi.nlm.nih.gov/pmc/?term=bioconductor&sort=ePubDate	200	2	301->https://www.ncbi.nlm.nih.gov/pmc/?term=bioconductor&sort=ePubDate | 301->https://pmc.ncbi.nlm.nih.gov/search/?term=bioconductor&sort=ePubDate	https://pmc.ncbi.nlm.nih.gov/search/?term=bioconductor&sort=ePubDate		PMC Full Text Articles	
http://www.ncbi.nlm.nih.gov/pmc/?term=bioconductor&sort=pubdate	200	2	301->https://www.ncbi.nlm.nih.gov/pmc/?term=bioconductor&sort=pubdate | 301->https://pmc.ncbi.nlm.nih.gov/search/?term=bioconductor&sort=pubdate	https://pmc.ncbi.nlm.nih.gov/search/?term=bioconductor&sort=pubdate			
http://www.ncbi.nlm.nih.gov/pubmed/?term=bioconductor&sort=date	200	2	301->https://www.ncbi.nlm.nih.gov/pubmed/?term=bioconductor&sort=date | 301->https://pubmed.ncbi.nlm.nih.gov/?term=bioconductor&sort=date	https://pubmed.ncbi.nlm.nih.gov/?term=bioconductor&sort=date	text/html; charset=utf-8		
http://www.ncbi.nlm.nih.gov/pubmed/?term=bioconductor&sort=pubdate	200	2	301->https://www.ncbi.nlm.nih.gov/pubmed/?term=bioconductor&sort=pubdate | 301->https://pubmed.ncbi.nlm.nih.gov/?term=bioconductor&sort=pubdate	https://pubmed.ncbi.nlm.nih.gov/?term=bioconductor&sort=pubdate	text/html; charset=utf-8		
