class	url	status	n_redirects	redirect_chain	final_url	title	note	context	source_files	live_referrers	verify_code	verify_hops	verify_final	verify_result
blocked_401	http://aws-portal.amazon.com/gp/aws/developer/subscription/index.html?productCode=AmazonEC2	401	3	301->https://aws-portal.amazon.com/gp/aws/developer/subscription/index.html?productCode=AmazonEC2 | 302->https://console.aws.amazon.com/billing/home | 302->https://us-east-1.console.aws.amazon.com/billing/home	https://us-east-1.console.aws.amazon.com/billing/home			live	content/help/bioconductor-cloud-ami.md	http://bioconductor.org/help/bioconductor-cloud-ami/; https://bioconductor.org/help/bioconductor-cloud-ami/	200	4	https://signin.aws.amazon.com/signin?redirect_uri=https%3A%2F%2Fportal.aws.amazon.com%2Fbilling%2Fsignup%2Fresume&client_id=signup&code_challenge_method=SHA-256&code_challenge=7rLdRNgivueBKVQBIoC4yy8ComVl4okS5OmZQ2H6CEc	FALSE_POSITIVE_ok200
blocked_403	http://aws.typepad.com/aws/2010/04/new-elastic-mapreduce-feature-bootstrap-actions.html	403	1	302->https://www.networksolutions.com/typepad?siteID=100&channelID=P99C100S653N0B5A1D0E0000V111	https://www.networksolutions.com/typepad?siteID=100&channelID=P99C100S653N0B5A1D0E0000V111	Attention Required! | Cloudflare		content	content/help/elasticmapreduce.md		403	1	https://www.networksolutions.com/typepad?siteID=100&channelID=P99C100S653N0B5A1D0E0000V111	BLOCKED_403
blocked_403	http://bioinfo.cipf.es/RNA-seq2010	403	2	302->https://bioinfo.cipf.es/RNA-seq2010 | 302->http://bioinfo.cipf.es/wp-admin/setup-config.php	http://bioinfo.cipf.es/wp-admin/setup-config.php			live	content/help/events/ValenciaNov2010.yaml	https://bioconductor.org/help/events/	403	2	http://bioinfo.cipf.es/wp-admin/setup-config.php	BLOCKED_403
blocked_403	http://blog.revolutionanalytics.com/2015/08/a-short-introduction-to-bioconductor.html	403	1	302->https://www.networksolutions.com/typepad?siteID=100&channelID=P99C100S653N0B5A1D0E0000V111	https://www.networksolutions.com/typepad?siteID=100&channelID=P99C100S653N0B5A1D0E0000V111	Attention Required! | Cloudflare		archival	content/help/newsletters/2015_October.md		403	1	https://www.networksolutions.com/typepad?siteID=100&channelID=P99C100S653N0B5A1D0E0000V111	BLOCKED_403
blocked_403	http://calculator.s3.amazonaws.com/calc5.html	403	0					archival	content/help/course-materials/extra/BioC2012_setup_guide.md		403	0	http://calculator.s3.amazonaws.com/calc5.html	BLOCKED_403
blocked_403	http://www.biostat.jhsph.edu/%7Eririzarr	403	1	301->https://www.biostat.jhsph.edu/~ririzarr	https://www.biostat.jhsph.edu/~ririzarr	403 Forbidden		live	content/help/publications/books/bioinformatics-and-computational-biology-solutions.html	https://bioconductor.org/help/publications/books/bioinformatics-and-computational-biology-solutions/	000	0		CONFIRMED_UNREACHABLE
blocked_403	http://www.biostat.jhsph.edu/~khansen/	403	1	301->https://www.biostat.jhsph.edu/~khansen/	https://www.biostat.jhsph.edu/~khansen/	403 Forbidden		live	content/about/technical-advisory-board.md	https://bioconductor.org/about/technical-advisory-board/	403	1	https://www.biostat.jhsph.edu/~khansen/	BLOCKED_403
blocked_403	http://www.biostat.jhsph.edu/~ririzarr/	403	1	301->https://www.biostat.jhsph.edu/~ririzarr/	https://www.biostat.jhsph.edu/~ririzarr/	403 Forbidden		archival	content/help/course-materials/2003/ENAR03.html		000	0		CONFIRMED_UNREACHABLE
blocked_403	http://www.crick.ac.uk/news/events/2013/09/03/intel-crick-ngs-workshop/	403	1	301->https://www.crick.ac.uk/news/events/2013/09/03/intel-crick-ngs-workshop/	https://www.crick.ac.uk/news/events/2013/09/03/intel-crick-ngs-workshop/	ERROR: The request could not be satisfied		live	content/help/events/ComputationalChallenges2013.yaml	https://bioconductor.org/help/events/	404	1	https://www.crick.ac.uk/news/events/2013/09/03/intel-crick-ngs-workshop/	CONFIRMED_404
blocked_403	http://www.illumina.com/platinumgenomes/	403	1	301->https://www.illumina.com:443/platinumgenomes/	https://www.illumina.com:443/platinumgenomes/	Errors		archival	content/help/course-materials/2015/BioC2015.md		403	1	https://www.illumina.com:443/platinumgenomes/	BLOCKED_403
blocked_403	http://www.nytimes.com/2009/01/07/technology/business-computing/07program.html?_r=1&scp=1&sq=robert%20gentleman&st=cse	403	0			nytimes.com		archival	content/news/RinNYT.md		403	0	http://www.nytimes.com/2009/01/07/technology/business-computing/07program.html?_r=1&scp=1&sq=robert%20gentleman&st=cse	BLOCKED_403
blocked_403	https://academic.oup.com/bioinformatics/advance-article-abstract/doi/10.1093/bioinformatics/btaa575/5861528	403	0			Just a moment...		archival	content/news/bioc_3_12_release.md		403	0	https://academic.oup.com/bioinformatics/advance-article-abstract/doi/10.1093/bioinformatics/btaa575/5861528	BLOCKED_403
blocked_403	https://academic.oup.com/bioinformatics/article-abstract/35/20/3944/5418797	403	0			Just a moment...		archival	content/news/bioc_3_11_release.md		403	0	https://academic.oup.com/bioinformatics/article-abstract/35/20/3944/5418797	BLOCKED_403
blocked_403	https://biox.stanford.edu/about/clark-center	403	0			Just a moment...		archival	content/help/course-materials/2016/BioC2016.md		403	0	https://biox.stanford.edu/about/clark-center	BLOCKED_403
blocked_403	https://dl.acm.org/doi/10.1145/3307339.3342155	403	0			Just a moment...		archival	content/news/bioc_3_13_release.md		403	0	https://dl.acm.org/doi/10.1145/3307339.3342155	BLOCKED_403
blocked_403	https://gitlab.com/Jennyzly2016/rnaEditr/-/issues/64	403	1	302->https://gitlab.com/users/sign_in	https://gitlab.com/users/sign_in	Just a moment...		archival	content/news/bioc_3_12_release.md		403	1	https://gitlab.com/users/sign_in	BLOCKED_403
blocked_403	https://rest.uniprot.org/	403	0			403 Forbidden		archival	content/news/bioc_3_16_release.md		403	0	https://rest.uniprot.org/	BLOCKED_403
blocked_403	https://www.biostars.org/	403	0			Just a moment...		live	content/about/collaborations.html; content/help/support/posting-guide.md	https://bioconductor.org/about/collaborations/; https://bioconductor.org/help/support/posting-guide/	403	0	https://www.biostars.org/	BLOCKED_403
blocked_403	https://www.biostars.org/p/188863/	403	0			Just a moment...		archival	content/news/bioc_3_3_release.md		403	0	https://www.biostars.org/p/188863/	BLOCKED_403
blocked_403	https://www.biostars.org/p/204142	403	0			Just a moment...		archival	content/news/bioc_3_4_release.md		403	0	https://www.biostars.org/p/204142	BLOCKED_403
