url	status	n_redirects	redirect_chain	final_url	content_type	title	note
http://bioconductor.org/	200	1	301->https://bioconductor.org/	https://bioconductor.org/	text/html		
http://bioconductor.org	200	1	301->https://bioconductor.org/	https://bioconductor.org/	text/html		
http://bioconductor.org/books/devel/SingleRBook/	200	1	301->https://bioconductor.org/books/devel/SingleRBook/	https://bioconductor.org/books/devel/SingleRBook/	text/html		
http://bioconductor.org/bin/macosx/2.1/affy_1.6.7.tgz	404	1	301->https://bioconductor.org/bin/macosx/2.1/affy_1.6.7.tgz	https://bioconductor.org/bin/macosx/2.1/affy_1.6.7.tgz	text/html		
http://bioconductor.org/bin/macosx/2.1/Biobase_1.5.12.tgz	404	1	301->https://bioconductor.org/bin/macosx/2.1/Biobase_1.5.12.tgz	https://bioconductor.org/bin/macosx/2.1/Biobase_1.5.12.tgz	text/html		
http://bioconductor.org/checkResults/devel/bioc-LATEST/	200	1	301->https://bioconductor.org/checkResults/devel/bioc-LATEST/	https://bioconductor.org/checkResults/devel/bioc-LATEST/	text/html		
http://bioconductor.org/bin/macosx/2.1/xtable_1.2-5.tgz	404	1	301->https://bioconductor.org/bin/macosx/2.1/xtable_1.2-5.tgz	https://bioconductor.org/bin/macosx/2.1/xtable_1.2-5.tgz	text/html		
http://bioconductor.org/data/experimental.html	404	1	301->https://bioconductor.org/data/experimental.html	https://bioconductor.org/data/experimental.html	text/html		
http://bioconductor.org/checkResults/	200	1	301->https://bioconductor.org/checkResults/	https://bioconductor.org/checkResults/	text/html		
http://bioconductor.org/data/metaData.html	404	1	301->https://bioconductor.org/data/metaData.html	https://bioconductor.org/data/metaData.html	text/html		
http://bioconductor.org/developers/how-to/git-svn/	200	1	301->https://bioconductor.org/developers/how-to/git-svn/	https://bioconductor.org/developers/how-to/git-svn/	text/html		
http://bioconductor.org/checkResults/release/bioc-LATEST/	200	1	301->https://bioconductor.org/checkResults/release/bioc-LATEST/	https://bioconductor.org/checkResults/release/bioc-LATEST/	text/html		
http://bioconductor.org/developers/BiocCheck.html	200	2	301->https://bioconductor.org/developers/BiocCheck.html | 301->http://master.bioconductor.org/packages/devel/bioc/vignettes/BiocCheck/inst/doc/BiocCheck.html	http://master.bioconductor.org/packages/devel/bioc/vignettes/BiocCheck/inst/doc/BiocCheck.html	text/html		
http://bioconductor.org/developers/release-schedule/	200	1	301->https://bioconductor.org/developers/release-schedule/	https://bioconductor.org/developers/release-schedule/	text/html		
http://bioconductor.org/developers/how-to/web-query/	200	2	301->https://bioconductor.org/developers/how-to/web-query/ | 301->https://contributions.bioconductor.org/querying-web-resources.html	https://contributions.bioconductor.org/querying-web-resources.html	text/html; charset=utf-8		
http://bioconductor.org/help/	200	1	301->https://bioconductor.org/help/	https://bioconductor.org/help/	text/html		
http://bioconductor.org/developers/how-to/troubleshoot-build-report/	200	2	301->https://bioconductor.org/developers/how-to/troubleshoot-build-report/ | 301->https://contributions.bioconductor.org/troubleshooting-build-report.html	https://contributions.bioconductor.org/troubleshooting-build-report.html	text/html; charset=utf-8		
http://bioconductor.org/help/bioconductor-cloud-ami/	200	1	301->https://bioconductor.org/help/bioconductor-cloud-ami/	https://bioconductor.org/help/bioconductor-cloud-ami/	text/html		
http://bioconductor.org/developers/unitTesting-guidelines/	200	2	301->https://bioconductor.org/developers/unitTesting-guidelines/ | 301->https://contributions.bioconductor.org/tests.html	https://contributions.bioconductor.org/tests.html	text/html; charset=utf-8		
http://bioconductor.org/developers/how-to/git-mirror/	200	3	301->https://bioconductor.org/developers/how-to/git-mirror/ | 301->http://master.bioconductor.org/about/mirrors/mirror-how-to.html | 301->http://master.bioconductor.org/about/mirrors/mirror-how-to/	http://master.bioconductor.org/about/mirrors/mirror-how-to/	text/html		
http://bioconductor.org/developers/package-guidelines/	200	3	301->https://bioconductor.org/developers/package-guidelines/ | 301->http://contributions.bioconductor.org/develop-overview.html | 301->https://contributions.bioconductor.org/develop-overview.html	https://contributions.bioconductor.org/develop-overview.html	text/html; charset=utf-8		
http://bioconductor.org/help/community/	200	1	301->https://bioconductor.org/help/community/	https://bioconductor.org/help/community/	text/html		
http://bioconductor.org/help/course-materials/	403	1	301->https://bioconductor.org/help/course-materials/	https://bioconductor.org/help/course-materials/	text/html		
http://bioconductor.org/help/course-materials/2014/CSAMA2014	403	1	301->https://bioconductor.org/help/course-materials/2014/CSAMA2014	https://bioconductor.org/help/course-materials/2014/CSAMA2014	text/html		
http://bioconductor.org/help/course-materials/2014/BioC2014/	403	1	301->https://bioconductor.org/help/course-materials/2014/BioC2014/	https://bioconductor.org/help/course-materials/2014/BioC2014/	text/html		
http://bioconductor.org/help/course-materials/2015/BiocEurope2015/	403	1	301->https://bioconductor.org/help/course-materials/2015/BiocEurope2015/	https://bioconductor.org/help/course-materials/2015/BiocEurope2015/	text/html		
http://bioconductor.org/help/course-materials/2015/Lyon2015/	403	1	301->https://bioconductor.org/help/course-materials/2015/Lyon2015/	https://bioconductor.org/help/course-materials/2015/Lyon2015/	text/html		
http://bioconductor.org/help/events/	200	1	301->https://bioconductor.org/help/events/	https://bioconductor.org/help/events/	text/html		
http://bioconductor.org/install/	200	1	301->https://bioconductor.org/install/	https://bioconductor.org/install/	text/html		
http://bioconductor.org/help/docker/	200	1	301->https://bioconductor.org/help/docker/	https://bioconductor.org/help/docker/	text/html		
http://bioconductor.org/help/publications/	200	1	301->https://bioconductor.org/help/publications/	https://bioconductor.org/help/publications/	text/html		
http://contributions.bioconductor.org/develop-overview.html	200	1	301->https://contributions.bioconductor.org/develop-overview.html	https://contributions.bioconductor.org/develop-overview.html	text/html; charset=utf-8		
http://contributions.bioconductor.org/bioconductor-package-submissions.html	200	1	301->https://contributions.bioconductor.org/bioconductor-package-submissions.html	https://contributions.bioconductor.org/bioconductor-package-submissions.html	text/html; charset=utf-8		
http://bioconductor.org/shields/build/release/bioc/BiocGenerics.svg	200	1	301->https://bioconductor.org/shields/build/release/bioc/BiocGenerics.svg	https://bioconductor.org/shields/build/release/bioc/BiocGenerics.svg	image/svg+xml		
http://bioconductor.org/repository/devel/vignette/factDesign.pdf	404	1	301->https://bioconductor.org/repository/devel/vignette/factDesign.pdf	https://bioconductor.org/repository/devel/vignette/factDesign.pdf	text/html		
http://bioconductor.org/shields/build/devel/bioc/BiocGenerics.svg	200	1	301->https://bioconductor.org/shields/build/devel/bioc/BiocGenerics.svg	https://bioconductor.org/shields/build/devel/bioc/BiocGenerics.svg	image/svg+xml		
http://contributions.bioconductor.org/git-version-control.html	200	1	301->https://contributions.bioconductor.org/git-version-control.html	https://contributions.bioconductor.org/git-version-control.html	text/html; charset=utf-8		
http://contributions.bioconductor.org/package-end-of-life-policy.html	200	1	301->https://contributions.bioconductor.org/package-end-of-life-policy.html	https://contributions.bioconductor.org/package-end-of-life-policy.html	text/html; charset=utf-8		
http://bioconductor.org/help/workflows/rnaseqGene/	200	2	301->https://bioconductor.org/help/workflows/rnaseqGene/ | 301->http://master.bioconductor.org/packages/release/workflows/html/rnaseqGene.html	http://master.bioconductor.org/packages/release/workflows/html/rnaseqGene.html	text/html		
http://bioconductor.org/help/workflows/liftOver/	200	2	301->https://bioconductor.org/help/workflows/liftOver/ | 301->http://master.bioconductor.org/packages/release/workflows/html/liftOver.html	http://master.bioconductor.org/packages/release/workflows/html/liftOver.html	text/html		
